0	1	2	3	4	5	6	7	8	
1	fM	fe	fM	fM	qM	fM	qM	MM	
2	kv	FK	Ic	jn	Ma	ji	Ml	kK	
3	kJ	wb	tx	KK	bJ	bb	bJ	kb	
4	Gv	FH	lH	Hv	HC	Gs	HN	NN	
5	BB	we	tl	Kf	ba	bf	Mo	tk	
6	kI	Ff	Iq	Kj	bC	tj	tq	kI	
7	GG	Fh	uF	nj	ua	Lz	uG	Gk	
8	hw	FH	IH	jF	DD	jq	qu	lK	
0	1	2	3	4	5	6	7	8	
1	vjb	cjt	Djp	CuD	mub	dyy	deA	dHG	
2	eMs	cMt	DMH	uMi	mmF	tyi	fey	mHE	
3	vpg	Lpq	DpB	zpi	vpi	HLC	kpt	Hpt	
4	NCg	cCI	DCb	CCN	NmF	iyu	doF	dCb	
5	Fes	rei	rJB	ruB	FFi	Byi	xee	pHa	
6	Fgg	FqF	rqp	rhn	Nhp	Iqv	ddA	FHp	
7	EjB	KqL	DJx	zJJ	vfx	Byy	fJw	KHx	
8	NMC	MMu	rMH	zMq	NFA	BdJ	dFi	FFo	
