0	1	2	3	4	5	6	7	8	
1	sw	cw	ow	fw	rw	ww	ew	kw	
2	sd	cd	od	fd	rd	dd	ed	kd	
3	so	co	oq	fo	ro	oo	eo	ko	
4	su	cu	oc	fc	ru	uu	ec	ku	
5	sn	cn	on	fn	rv	vv	en	kn	
6	sp	cp	op	fp	rp	hp	ep	kp	
7	sx	cx	ox	fx	rx	xx	ex	kx	
8	ss	cs	os	fs	rs	gs	es	ks	
0	1	2	3	4	5	6	7	8	
1	vpp	vwu	vov	vbx	vgv	vrc	vfa	vee	
2	ppp	wwh	ooo	bbo	ggk	rrm	fff	eeb	
3	upg	uwt	uoo	ubx	ugt	urg	ufa	uew	
4	upe	uwu	uov	ubx	ugv	urr	ufa	uee	
5	spf	swn	sob	sbf	sgj	srr	sff	seb	
6	dpd	dwt	dob	dbx	dgt	drr	dff	ded	
7	apm	awi	aom	abm	agk	arm	afe	aeg	
8	app	awn	aoc	abf	agk	arc	afc	aec	
0	1	2	3	4	5	6	7	8	
1	ctc	vtx	rtx	gtc	atc	ltc	itg	dtc	
2	cwn	vwa	rwr	gwn	awt	lwt	iwg	dwd	
3	csg	vsx	rsr	gst	aso	lsd	isi	dsi	
4	ckg	vkg	rkr	gkg	akj	lkd	ikv	dke	
5	chs	vhv	rhs	ghu	ahr	lhf	ihk	dhu	
6	cbr	vbp	rbp	gbv	abo	lbo	ibi	dbv	
7	cqe	vqe	rqe	gqe	aqe	lqo	iqi	dqe	
8	can	vap	rap	gau	aau	laf	iau	dad	
